5 Minutes,Mainline Agg,Mainline Lane 1,Mainline Lane 2,Mainline Lane 3,Mainline Lane 4,HOV/HOT Agg,HOV/HOT Lane 1,HOV/HOT Lane 2,# Lane Pts,% Observed
2016-05-01 03:05:00,13.57,10.68,13.22,14.4,16,,,,158,78
2016-05-01 03:10:00,13.6,10.73,13.25,14.4,15.98,,,,158,78
2016-05-01 03:15:00,13.6,10.7,13.35,14.42,15.93,,,,158,78
2016-05-01 03:20:00,13.6,10.68,13.33,14.4,15.97,,,,158,78
2016-05-01 03:25:00,13.62,10.67,13.25,14.45,16.07,,,,158,78
2016-05-01 03:30:00,13.65,10.68,13.33,14.5,16.07,,,,158,78
2016-05-01 03:35:00,13.58,10.67,13.2,14.47,16,,,,158,78
2016-05-01 03:40:00,13.62,10.68,13.32,14.52,15.97,,,,157,78
2016-05-01 03:45:00,13.67,10.68,13.38,14.6,16,,,,158,78
2016-05-01 03:50:00,13.58,10.68,13.2,14.48,15.97,,,,158,78
2016-05-01 03:55:00,13.58,10.67,13.23,14.45,16.03,,,,158,78
2016-05-01 04:00:00,13.58,10.68,13.23,14.43,16.02,,,,157,78
2016-05-01 04:05:00,13.57,10.67,13.08,14.47,16.02,,,,158,78
2016-05-01 04:10:00,13.62,10.68,13.03,14.68,16.05,,,,158,78
2016-05-01 04:15:00,13.62,10.72,13.05,14.58,16.12,,,,158,78
2016-05-01 04:20:00,13.67,10.72,13,14.65,16.3,,,,157,78
2016-05-01 04:25:00,13.62,10.73,12.98,14.53,16.2,,,,158,78
2016-05-01 04:30:00,13.65,10.72,13.02,14.75,16.15,,,,158,78
2016-05-01 04:35:00,13.63,10.68,13.1,14.63,16.08,,,,158,78
2016-05-01 04:40:00,13.6,10.7,13.13,14.52,16.08,,,,158,78
2016-05-01 04:45:00,13.57,10.68,13.05,14.47,16.03,,,,157,78
2016-05-01 04:50:00,13.57,10.72,13.08,14.5,16,,,,156,78
2016-05-01 04:55:00,13.58,10.68,13.2,14.47,15.98,,,,158,78
2016-05-01 05:00:00,13.58,10.68,13.22,14.45,16,,,,158,78
2016-05-01 05:05:00,13.58,10.7,13.17,14.43,16.03,,,,158,78
2016-05-01 05:10:00,13.6,10.72,13.08,14.47,16.12,,,,158,78
2016-05-01 05:15:00,13.67,10.73,13.17,14.63,16.12,,,,158,78
2016-05-01 05:20:00,13.68,10.73,13.18,14.62,16.2,,,,158,78
2016-05-01 05:25:00,13.65,10.72,13.22,14.52,16.15,,,,158,78
2016-05-01 05:30:00,13.63,10.68,13.2,14.57,16.08,,,,158,78
2016-05-01 05:35:00,13.67,10.72,13.18,14.55,16.2,,,,158,78
2016-05-01 05:40:00,13.63,10.72,13.17,14.5,16.17,,,,157,78
2016-05-01 05:45:00,13.63,10.67,13.25,14.5,16.12,,,,158,78
2016-05-01 05:50:00,13.7,10.67,13.3,14.62,16.17,,,,158,78
2016-05-01 05:55:00,13.67,10.68,13.22,14.63,16.08,,,,158,78
2016-05-01 06:00:00,13.73,10.72,13.38,14.6,16.23,,,,157,78
2016-05-01 06:05:00,13.67,10.7,13.28,14.63,16.08,,,,158,78
2016-05-01 06:10:00,13.63,10.65,13.18,14.62,16.05,,,,158,78
2016-05-01 06:15:00,13.6,10.63,13.17,14.52,16.12,,,,158,78
2016-05-01 06:20:00,13.57,10.63,13.15,14.42,16.07,,,,158,78
2016-05-01 06:25:00,13.55,10.63,13.22,14.37,15.97,,,,158,78
2016-05-01 06:30:00,13.52,10.62,13.22,14.37,15.88,,,,158,78
2016-05-01 06:35:00,13.52,10.58,13.15,14.35,15.97,,,,157,78
2016-05-01 06:40:00,13.5,10.6,13.13,14.32,15.93,,,,158,78
2016-05-01 06:45:00,13.45,10.6,13.08,14.25,15.88,,,,158,78
2016-05-01 06:50:00,13.48,10.58,13.08,14.3,15.93,,,,157,78
2016-05-01 06:55:00,13.53,10.65,13.12,14.38,16.02,,,,158,78
2016-05-01 07:00:00,13.5,10.65,13.18,14.28,15.9,,,,158,78
2016-05-01 07:05:00,13.5,10.63,13.08,14.27,16,,,,157,78
2016-05-01 07:10:00,13.53,10.67,13.18,14.33,15.92,,,,158,78
2016-05-01 07:15:00,13.55,10.65,13.17,14.3,16.05,,,,158,78
2016-05-01 07:20:00,13.53,10.7,13.2,14.27,15.98,,,,158,78
2016-05-01 07:25:00,13.48,10.68,13.08,14.27,15.88,,,,158,78
2016-05-01 07:30:00,13.47,10.68,12.98,14.3,15.9,,,,158,78
2016-05-01 07:35:00,13.53,10.7,13,14.43,15.97,,,,158,78
2016-05-01 07:40:00,13.53,10.73,12.9,14.42,16.05,,,,158,78
2016-05-01 07:45:00,13.55,10.75,12.98,14.37,16.12,,,,157,78
2016-05-01 07:50:00,13.58,10.73,13.08,14.5,16.02,,,,158,78
2016-05-01 07:55:00,13.58,10.77,13.02,14.53,16,,,,158,78
2016-05-01 08:00:00,13.68,10.75,13.12,14.65,16.2,,,,158,78
2016-05-01 08:05:00,13.7,10.78,13.18,14.62,16.18,,,,158,78
2016-05-01 08:10:00,13.73,10.78,13.23,14.68,16.22,,,,158,78
2016-05-01 08:15:00,13.75,10.73,13.25,14.77,16.27,,,,158,78
2016-05-01 08:20:00,13.77,10.8,13.27,14.78,16.2,,,,158,78
2016-05-01 08:25:00,13.82,10.82,13.28,14.88,16.3,,,,158,78
2016-05-01 08:30:00,13.85,10.8,13.25,15.02,16.3,,,,159,79
2016-05-01 08:35:00,13.8,10.78,13.27,14.87,16.25,,,,158,78
2016-05-01 08:40:00,13.92,10.77,13.33,15,16.55,,,,158,78
2016-05-01 08:45:00,14.03,10.87,13.52,15.18,16.58,,,,159,79
2016-05-01 08:50:00,14.03,10.88,13.82,14.97,16.47,,,,158,78
2016-05-01 08:55:00,14.05,10.8,13.62,15.07,16.7,,,,159,79
2016-05-01 09:00:00,14.17,10.82,13.68,15.27,16.92,,,,159,79
2016-05-01 09:05:00,14.37,10.83,14,15.37,17.27,,,,159,79
2016-05-01 09:10:00,14.35,10.93,14.25,15.35,16.88,,,,159,78
2016-05-01 09:15:00,14.33,11,14.43,15.13,16.8,,,,158,78
2016-05-01 09:20:00,14.38,10.93,14.53,15.13,16.9,,,,159,78
2016-05-01 09:25:00,14.43,10.92,14.65,15.1,17.03,,,,159,78
2016-05-01 09:30:00,14.5,10.92,14.72,15.08,17.25,,,,159,78
2016-05-01 09:35:00,14.5,10.93,14.6,15.17,17.32,,,,157,78
2016-05-01 09:40:00,14.45,10.95,14.57,15.13,17.18,,,,158,78
2016-05-01 09:45:00,14.43,10.88,14.7,15.1,17.05,,,,159,79
2016-05-01 09:50:00,14.32,10.93,14.6,14.98,16.75,,,,158,78
2016-05-01 09:55:00,14.25,10.98,14.3,15.13,16.6,,,,159,73
2016-05-01 10:00:00,14.05,11.02,13.52,15.08,16.58,,,,157,45
2016-05-01 10:05:00,13.98,11.05,13.47,14.93,16.47,,,,157,45
2016-05-01 10:10:00,14.05,10.98,13.47,15.07,16.67,,,,159,70
2016-05-01 10:15:00,14.22,11.15,13.6,15.3,16.82,,,,159,79
2016-05-01 10:20:00,14.27,11.18,13.6,15.42,16.82,,,,159,79
2016-05-01 10:25:00,14.23,11.22,13.6,15.3,16.82,,,,159,79
2016-05-01 10:30:00,14.18,11.17,13.55,15.27,16.75,,,,159,79
2016-05-01 10:35:00,14.17,11.15,13.58,15.3,16.67,,,,159,79
2016-05-01 10:40:00,14.25,11.25,13.8,15.28,16.67,,,,159,79
2016-05-01 10:45:00,14.3,11.25,14,15.22,16.77,,,,159,79
2016-05-01 10:50:00,14.35,11.18,13.85,15.33,17.02,,,,159,79
2016-05-01 10:55:00,14.4,11.27,14.08,15.37,16.9,,,,158,79
2016-05-01 11:00:00,14.35,11.25,13.98,15.37,16.77,,,,159,79
2016-05-01 11:05:00,14.3,11.3,13.83,15.32,16.77,,,,159,79
2016-05-01 11:10:00,14.3,11.38,13.82,15.32,16.7,,,,159,79
2016-05-01 11:15:00,14.35,11.33,13.88,15.45,16.75,,,,159,79
2016-05-01 11:20:00,14.33,11.37,13.77,15.35,16.83,,,,159,79
2016-05-01 11:25:00,14.33,11.37,13.82,15.32,16.85,,,,158,79
2016-05-01 11:30:00,14.33,11.45,13.83,15.28,16.77,,,,159,79
2016-05-01 11:35:00,14.27,11.37,13.75,15.25,16.68,,,,159,79
2016-05-01 11:40:00,14.25,11.37,13.75,15.25,16.65,,,,158,79
2016-05-01 11:45:00,14.2,11.35,13.65,15.2,16.65,,,,158,79
2016-05-01 11:50:00,14.2,11.32,13.67,15.2,16.63,,,,159,79
2016-05-01 11:55:00,14.27,11.38,13.7,15.18,16.8,,,,159,79
2016-05-01 12:00:00,14.32,11.43,13.8,15.23,16.75,,,,158,74
2016-05-01 12:05:00,14.25,11.4,13.6,15.22,16.77,,,,159,46
2016-05-01 12:10:00,14.12,11.23,13.6,15.1,16.55,,,,159,46
2016-05-01 12:15:00,14.12,11.13,13.63,15.15,16.55,,,,159,70
2016-05-01 12:20:00,14.25,11.45,13.77,15.25,16.57,,,,159,79
2016-05-01 12:25:00,14.28,11.43,13.75,15.23,16.75,,,,159,79
2016-05-01 12:30:00,14.4,11.48,13.75,15.3,17.07,,,,158,79
2016-05-01 12:35:00,14.47,11.38,13.82,15.5,17.13,,,,157,79
2016-05-01 12:40:00,14.43,11.4,13.82,15.47,17.03,,,,158,79
2016-05-01 12:45:00,14.4,11.43,13.83,15.42,16.95,,,,158,79
2016-05-01 12:50:00,14.37,11.42,13.83,15.33,16.9,,,,158,79
2016-05-01 12:55:00,14.37,11.42,13.87,15.35,16.8,,,,158,79
2016-05-01 13:00:00,14.38,11.45,13.87,15.33,16.88,,,,159,79
2016-05-01 13:05:00,14.43,11.52,13.83,15.37,17.02,,,,159,79
2016-05-01 13:10:00,14.4,11.52,13.85,15.32,16.92,,,,159,79
2016-05-01 13:15:00,14.33,11.47,13.83,15.33,16.7,,,,159,79
2016-05-01 13:20:00,14.3,11.45,13.88,15.22,16.63,,,,159,79
2016-05-01 13:25:00,14.33,11.47,13.85,15.23,16.77,,,,159,79
2016-05-01 13:30:00,14.33,11.43,13.88,15.25,16.78,,,,159,75
2016-05-01 13:35:00,14.33,11.33,13.83,15.33,16.88,,,,158,59
2016-05-01 13:40:00,14.18,11.37,13.75,15.03,16.58,,,,159,67
2016-05-01 13:45:00,14.12,11.23,13.67,15.02,16.53,,,,158,76
2016-05-01 13:50:00,14.18,11.32,13.62,15.22,16.62,,,,159,79
2016-05-01 13:55:00,14.23,11.3,13.67,15.27,16.68,,,,159,79
2016-05-01 14:00:00,14.33,11.33,13.77,15.4,16.83,,,,159,79
2016-05-01 14:05:00,14.42,11.5,13.87,15.45,16.85,,,,159,74
2016-05-01 14:10:00,14.23,11.47,13.65,15.17,16.62,,,,159,47
2016-05-01 14:15:00,14.18,11.33,13.83,15.13,16.45,,,,159,47
2016-05-01 14:20:00,14.32,11.3,13.9,15.37,16.68,,,,159,71
2016-05-01 14:25:00,14.28,11.42,13.82,15.25,16.67,,,,159,79
2016-05-01 14:30:00,14.32,11.48,13.87,15.27,16.67,,,,159,79
2016-05-01 14:35:00,14.32,11.48,13.87,15.2,16.7,,,,158,78
2016-05-01 14:40:00,14.3,11.43,13.85,15.23,16.68,,,,159,74
2016-05-01 14:45:00,14.32,11.35,13.67,15.48,16.75,,,,159,45
2016-05-01 14:50:00,14.65,11.63,14.35,15.43,17.17,,,,159,48
2016-05-01 14:55:00,14.2,11.42,13.67,14.97,16.72,,,,158,71
2016-05-01 15:00:00,14.23,11.3,13.75,15.08,16.77,,,,158,78
2016-05-01 15:05:00,14.22,11.28,13.7,15.07,16.85,,,,159,79
2016-05-01 15:10:00,14.37,11.3,13.83,15.28,17.03,,,,159,79
2016-05-01 15:15:00,14.42,11.43,13.82,15.42,17,,,,157,79
2016-05-01 15:20:00,14.33,11.38,13.8,15.28,16.88,,,,159,79
2016-05-01 15:25:00,14.38,11.45,13.83,15.38,16.85,,,,159,79
2016-05-01 15:30:00,14.48,11.52,13.9,15.43,17.08,,,,159,79
2016-05-01 15:35:00,14.83,11.72,14.17,15.88,17.55,,,,158,78
2016-05-01 15:40:00,15.12,12.03,14.53,16.03,17.85,,,,158,78
2016-05-01 15:45:00,15.42,12.37,14.68,16.28,18.35,,,,158,78
2016-05-01 15:50:00,15.18,12.58,14.82,15.93,17.38,,,,158,73
2016-05-01 15:55:00,14.88,12.03,14.12,15.77,17.58,,,,159,45
2016-05-01 16:00:00,14.98,12.15,14.28,15.82,17.67,,,,158,46
2016-05-01 16:05:00,15.08,12.18,14.3,15.88,17.93,,,,159,70
2016-05-01 16:10:00,14.97,12.38,14.43,15.75,17.32,,,,159,79
2016-05-01 16:15:00,14.65,12.07,14.18,15.43,16.93,,,,158,78
2016-05-01 16:20:00,14.43,11.7,13.93,15.25,16.87,,,,159,79
2016-05-01 16:25:00,14.33,11.65,13.92,15.15,16.65,,,,159,79
2016-05-01 16:30:00,14.33,11.48,13.87,15.22,16.75,,,,159,79
2016-05-01 16:35:00,14.35,11.6,13.88,15.27,16.65,,,,159,79
2016-05-01 16:40:00,14.25,11.43,13.82,15.15,16.58,,,,159,79
2016-05-01 16:45:00,14.3,11.38,13.8,15.32,16.7,,,,159,79
2016-05-01 16:50:00,14.33,11.42,13.82,15.32,16.77,,,,158,78
2016-05-01 16:55:00,14.45,11.53,13.9,15.35,17.03,,,,159,79
2016-05-01 17:00:00,14.63,11.62,14.05,15.48,17.4,,,,159,79
2016-05-01 17:05:00,14.83,11.82,14.28,15.75,17.48,,,,159,79
2016-05-01 17:10:00,14.88,11.98,14.37,15.77,17.47,,,,159,79
2016-05-01 17:15:00,14.8,11.9,14.37,15.67,17.3,,,,159,79
2016-05-01 17:20:00,14.7,11.87,14.42,15.55,16.97,,,,159,79
2016-05-01 17:25:00,14.55,11.63,14.12,15.58,16.87,,,,159,79
2016-05-01 17:30:00,15.65,11.78,14.2,16.2,20.4,,,,160,73
2016-05-01 17:35:00,16.82,13.92,16.58,17.52,19.28,,,,160,40
2016-05-01 17:40:00,16.58,13.58,16,17.27,19.5,,,,160,8
2016-05-01 17:45:00,16.18,13.47,15.43,16.78,19.03,,,,160,0
2016-05-01 17:50:00,15.8,13.1,15.05,16.52,18.53,,,,160,0
2016-05-01 17:55:00,15.48,12.68,14.67,16.37,18.22,,,,159,0
2016-05-01 18:00:00,15.03,12.47,14.52,15.83,17.35,,,,159,0
2016-05-01 18:05:00,14.68,11.95,14.08,15.55,17.12,,,,159,0
2016-05-01 18:10:00,14.4,11.65,13.83,15.33,16.82,,,,159,0
2016-05-01 18:15:00,14.28,11.47,13.77,15.17,16.73,,,,159,0
2016-05-01 18:20:00,14.17,11.33,13.67,15.07,16.63,,,,159,0
2016-05-01 18:25:00,14.15,11.3,13.53,15.05,16.7,,,,159,0
2016-05-01 18:30:00,14.13,11.27,13.57,15.02,16.72,,,,158,0
2016-05-01 18:35:00,14.15,11.28,13.6,15,16.72,,,,158,0
2016-05-01 18:40:00,14.13,11.27,13.6,15,16.65,,,,158,0
2016-05-01 18:45:00,14.15,11.25,13.6,15,16.75,,,,158,0
2016-05-01 18:50:00,14.12,11.27,13.58,14.93,16.68,,,,158,0
2016-05-01 18:55:00,14.12,11.27,13.62,14.97,16.62,,,,158,0
2016-05-01 19:00:00,14.13,11.23,13.6,14.97,16.73,,,,158,0
2016-05-01 19:05:00,14.2,11.25,13.62,15.05,16.85,,,,159,0
2016-05-01 19:10:00,14.17,11.25,13.57,15.05,16.78,,,,159,0
2016-05-01 19:15:00,14.25,11.27,13.62,15.05,17.07,,,,159,0
2016-05-01 19:20:00,14.17,11.25,13.6,15,16.85,,,,158,0
2016-05-01 19:25:00,14.15,11.25,13.57,15.07,16.75,,,,159,0
2016-05-01 19:30:00,14.18,11.23,13.58,15.1,16.83,,,,159,0
2016-05-01 19:35:00,14.18,11.27,13.65,15.08,16.75,,,,159,0
2016-05-01 19:40:00,14.18,11.27,13.68,15.08,16.73,,,,159,0
2016-05-01 19:45:00,14.27,11.32,13.68,15.05,17.02,,,,159,0
2016-05-01 19:50:00,14.35,11.28,13.67,15.03,17.38,,,,159,0
2016-05-01 19:55:00,14.23,11.28,13.78,15.08,16.78,,,,159,0
2016-05-01 20:00:00,14.25,11.28,13.85,15.13,16.7,,,,159,0
2016-05-01 20:05:00,14.3,11.32,13.9,15.22,16.77,,,,159,0
2016-05-01 20:10:00,14.48,11.4,13.98,15.23,17.3,,,,157,0
2016-05-01 20:15:00,14.52,11.47,14.15,15.27,17.22,,,,159,0
2016-05-01 20:20:00,14.6,11.52,14.08,15.3,17.52,,,,159,0
2016-05-01 20:25:00,14.45,11.45,14.1,15.23,17.03,,,,159,0
2016-05-01 20:30:00,14.47,11.42,14.05,15.22,17.18,,,,158,0
2016-05-01 20:35:00,14.5,11.37,13.98,15.27,17.4,,,,159,0
2016-05-01 20:40:00,14.45,11.38,14.17,15.22,17.03,,,,158,0
2016-05-01 20:45:00,14.35,11.35,14.05,15.22,16.78,,,,159,0
2016-05-01 20:50:00,14.17,11.37,13.82,14.98,16.48,,,,158,0
2016-05-01 20:55:00,13.9,11.15,13.57,14.73,16.12,,,,158,0
2016-05-01 21:00:00,13.68,10.88,13.25,14.53,16.08,,,,158,0
2016-05-01 21:05:00,13.6,10.7,13.22,14.48,16,,,,157,0
2016-05-01 21:10:00,13.57,10.65,13.12,14.4,16.12,,,,158,0
2016-05-01 21:15:00,13.55,10.65,13.15,14.42,15.97,,,,158,0
2016-05-01 21:20:00,13.88,10.65,14.33,14.47,16.05,,,,157,0
2016-05-01 21:25:00,13.57,10.68,13.02,14.48,16.05,,,,158,0
2016-05-01 21:30:00,13.62,10.6,13.27,14.43,16.15,,,,158,0
2016-05-01 21:35:00,13.5,10.6,13.07,14.32,16.03,,,,157,0
2016-05-01 21:40:00,13.48,10.65,13.03,14.33,15.9,,,,158,0
2016-05-01 21:45:00,13.48,10.58,13.17,14.42,15.8,,,,156,0
2016-05-01 21:50:00,13.45,10.53,12.88,14.37,16,,,,158,0
2016-05-01 21:55:00,13.45,10.53,13.02,14.4,15.85,,,,158,0
2016-05-01 22:00:00,13.43,10.6,12.95,14.3,15.9,,,,158,0
2016-05-01 22:05:00,13.47,10.63,12.98,14.4,15.87,,,,158,0
2016-05-01 22:10:00,13.47,10.6,13.1,14.33,15.8,,,,158,0
2016-05-01 22:15:00,13.43,10.6,12.97,14.3,15.85,,,,158,0
2016-05-01 22:20:00,13.43,10.57,12.92,14.3,15.93,,,,158,3
2016-05-01 22:25:00,13.53,10.55,12.95,14.53,16.07,,,,158,32
2016-05-01 22:30:00,13.67,10.58,13.12,14.63,16.37,,,,157,69
2016-05-01 22:35:00,13.7,10.73,13.22,14.67,16.18,,,,158,78
2016-05-01 22:40:00,13.62,10.78,13.17,14.42,16.13,,,,157,78
2016-05-01 22:45:00,13.6,10.78,13.18,14.37,16.08,,,,158,78
2016-05-01 22:50:00,13.6,10.77,13.17,14.38,16.07,,,,158,78
2016-05-01 22:55:00,13.68,10.87,13.25,14.43,16.17,,,,158,78
2016-05-01 23:00:00,13.65,10.92,13.28,14.33,16.07,,,,158,77
2016-05-01 23:05:00,13.63,10.78,13.27,14.32,16.18,,,,158,78
2016-05-01 23:10:00,13.65,10.8,13.25,14.4,16.15,,,,157,78
2016-05-01 23:15:00,13.6,10.73,13.2,14.37,16.1,,,,158,78
2016-05-01 23:20:00,13.65,10.72,13.25,14.38,16.23,,,,158,78
2016-05-01 23:25:00,13.77,10.72,13.47,14.63,16.25,,,,156,78
2016-05-01 23:30:00,13.72,10.73,13.45,14.57,16.08,,,,158,78
2016-05-01 23:35:00,13.7,10.7,13.37,14.62,16.15,,,,158,78
2016-05-01 23:40:00,13.7,10.72,13.37,14.53,16.17,,,,158,78
2016-05-01 23:45:00,13.73,10.73,13.4,14.43,16.35,,,,157,78
2016-05-01 23:50:00,13.67,10.68,13.32,14.42,16.23,,,,158,78
2016-05-01 23:55:00,13.77,10.68,13.45,14.58,16.33,,,,158,78
2016-05-02 00:00:00,13.88,10.73,13.75,14.73,16.33,,,,158,78
2016-05-02 00:05:00,13.75,10.77,13.53,14.53,16.18,,,,158,78
2016-05-02 00:10:00,13.68,10.75,13.48,14.4,16.12,,,,158,78
2016-05-02 00:15:00,13.67,10.72,13.42,14.42,16.1,,,,157,78
2016-05-02 00:20:00,13.83,10.87,13.67,14.65,16.15,,,,158,78
2016-05-02 00:25:00,13.98,11.12,13.75,14.9,16.18,,,,158,78
2016-05-02 00:30:00,13.85,10.95,13.4,14.83,16.22,,,,158,78
2016-05-02 00:35:00,13.87,10.88,13.48,14.77,16.32,,,,158,78
2016-05-02 00:40:00,13.92,10.88,13.52,14.85,16.43,,,,158,78
2016-05-02 00:45:00,13.82,10.78,13.57,14.65,16.23,,,,158,78
2016-05-02 00:50:00,13.73,10.75,13.43,14.6,16.15,,,,158,78
2016-05-02 00:55:00,13.73,10.73,13.45,14.62,16.15,,,,158,78
2016-05-02 01:00:00,13.8,10.75,13.52,14.68,16.23,,,,158,78
2016-05-02 01:05:00,13.7,10.73,13.3,14.6,16.18,,,,158,78
2016-05-02 01:10:00,13.7,10.73,13.23,14.62,16.18,,,,158,78
2016-05-02 01:15:00,13.7,10.72,13.33,14.57,16.2,,,,158,78
2016-05-02 01:20:00,13.78,10.72,13.37,14.63,16.38,,,,156,78
2016-05-02 01:25:00,13.8,10.73,13.47,14.65,16.35,,,,158,78
2016-05-02 01:30:00,13.85,10.73,13.68,14.52,16.48,,,,158,78
2016-05-02 01:35:00,13.8,10.72,13.73,14.45,16.33,,,,157,77
2016-05-02 01:40:00,13.75,10.68,13.35,14.45,16.48,,,,157,77
2016-05-02 01:45:00,13.7,10.7,13.23,14.45,16.45,,,,158,77
2016-05-02 01:50:00,13.7,10.68,13.3,14.45,16.35,,,,158,77
2016-05-02 01:55:00,13.65,10.68,13.22,14.47,16.2,,,,158,77
2016-05-02 02:00:00,13.68,10.67,13.4,14.38,16.25,,,,158,77
2016-05-02 02:05:00,13.85,10.68,13.85,14.55,16.3,,,,158,77
2016-05-02 02:10:00,13.88,10.67,14.03,14.53,16.3,,,,158,77
2016-05-02 02:15:00,13.93,10.7,14.2,14.6,16.23,,,,158,77
2016-05-02 02:20:00,13.95,10.67,14.32,14.55,16.27,,,,158,78
2016-05-02 02:25:00,13.85,10.67,14.22,14.47,16.08,,,,158,78
2016-05-02 02:30:00,13.97,10.68,14.4,14.58,16.22,,,,157,78
2016-05-02 02:35:00,14,10.68,14.58,14.6,16.13,,,,158,78
2016-05-02 02:40:00,13.98,10.67,14.62,14.53,16.13,,,,157,78
2016-05-02 02:45:00,14.07,10.7,14.73,14.63,16.23,,,,158,78
2016-05-02 02:50:00,13.72,10.72,13.43,14.55,16.15,,,,156,78
2016-05-02 02:55:00,13.82,10.68,13.88,14.58,16.1,,,,158,78
2016-05-02 03:00:00,13.92,10.67,14.12,14.67,16.23,,,,158,78
2016-05-02 03:05:00,13.98,10.68,14.37,14.68,16.15,,,,158,78
2016-05-02 03:10:00,13.98,10.68,14.53,14.63,16.1,,,,158,78
2016-05-02 03:15:00,14.07,10.7,14.55,14.67,16.33,,,,158,78
2016-05-02 03:20:00,14.05,10.7,14.67,14.52,16.33,,,,158,78
2016-05-02 03:25:00,14,10.68,14.57,14.47,16.25,,,,158,78
2016-05-02 03:30:00,13.97,10.67,14.73,14.4,16.1,,,,158,78
2016-05-02 03:35:00,14.02,10.68,14.63,14.53,16.22,,,,157,78
2016-05-02 03:40:00,14.15,10.72,14.9,14.58,16.37,,,,157,78
2016-05-02 03:45:00,14.08,10.72,14.85,14.53,16.22,,,,157,78
2016-05-02 03:50:00,13.93,10.68,14.65,14.43,15.95,,,,158,78
2016-05-02 03:55:00,13.97,10.67,14.77,14.43,16.03,,,,158,78
2016-05-02 04:00:00,14.05,10.7,14.52,14.55,16.42,,,,158,78
2016-05-02 04:05:00,14.12,10.7,14.75,14.58,16.42,,,,158,78
2016-05-02 04:10:00,14.03,10.68,14.33,14.7,16.42,,,,158,78
2016-05-02 04:15:00,14.12,10.8,14.52,14.85,16.3,,,,158,78
2016-05-02 04:20:00,14,10.7,14.52,14.57,16.2,,,,158,78
2016-05-02 04:25:00,14.02,10.7,14.47,14.4,16.48,,,,158,78
2016-05-02 04:30:00,13.98,10.72,14.52,14.37,16.32,,,,158,78
2016-05-02 04:35:00,13.88,10.67,14.3,14.32,16.27,,,,157,78
2016-05-02 04:40:00,13.8,10.67,14.28,14.15,16.1,,,,158,78
2016-05-02 04:45:00,13.67,10.68,14.2,14.1,15.68,,,,158,78
